"PLOT","SPCD","DIA","HT","Species"
"28991",264,13.9,52,"Mountain Hemlock"
"28991",264,13.5,60,"Mountain Hemlock"
"28991",264,17.2,62,"Mountain Hemlock"
"30083",108,10.8,49,"Lodgepole Pine"
"30083",108,9.8,40,"Lodgepole Pine"
"30083",108,9.2,47,"Lodgepole Pine"
"24238",108,10,34,"Lodgepole Pine"
"24238",108,8.7,30,"Lodgepole Pine"
"24238",108,8.7,24,"Lodgepole Pine"
"48904",108,10.7,32,"Lodgepole Pine"
"48904",108,9.5,25,"Lodgepole Pine"
"48904",108,8.1,26,"Lodgepole Pine"
"56084",108,9.7,32,"Lodgepole Pine"
"21015",108,8.5,47,"Lodgepole Pine"
"21015",108,9.9,40,"Lodgepole Pine"
"21015",108,7.8,48,"Lodgepole Pine"
"21015",108,12.2,62,"Lodgepole Pine"
"21015",108,9.8,48,"Lodgepole Pine"
"46540",94,7.1,40,"White Spruce"
"46540",94,5.5,38,"White Spruce"
"42286",94,6.1,44,"White Spruce"
"42286",94,8.8,54,"White Spruce"
"42286",94,9.4,58,"White Spruce"
"58091",94,8.7,53,"White Spruce"
"58091",94,5.9,41,"White Spruce"
"58091",94,7.2,46,"White Spruce"
"10727",95,5.1,26,"Black Spruce"
"10727",95,3.5,19,"Black Spruce"
"10727",95,3.4,19,"Black Spruce"
"25542",95,5.7,31,"Black Spruce"
"25542",95,4.1,25,"Black Spruce"
"25542",95,3.7,23,"Black Spruce"
"5034",94,11.1,45,"White Spruce"
"5034",94,14.9,52,"White Spruce"
"5034",94,14.9,52,"White Spruce"
"14072",95,3.1,23,"Black Spruce"
"14072",95,3.9,24,"Black Spruce"
"14072",95,3.8,25,"Black Spruce"
"40957",95,3.7,23,"Black Spruce"
"40957",95,3.6,24,"Black Spruce"
"40957",95,3.6,23,"Black Spruce"
"52227",94,4.4,27,"White Spruce"
"52227",94,3.3,24,"White Spruce"
"52227",94,2.7,17,"White Spruce"
"52227",94,5.7,42,"White Spruce"
"52227",94,4.9,33,"White Spruce"
"52227",94,7,45,"White Spruce"
"34723",95,3.2,21,"Black Spruce"
"34723",95,2.8,17,"Black Spruce"
"34723",95,2.6,16,"Black Spruce"
"23187",94,5.3,37,"White Spruce"
"29194",95,3.3,19,"Black Spruce"
"29194",95,4.1,24,"Black Spruce"
"29194",95,3.5,19,"Black Spruce"
"56009",94,3.3,16,"White Spruce"
"56009",94,4.6,26,"White Spruce"
"56009",94,3.7,22,"White Spruce"
"47020",94,6.5,30,"White Spruce"
"47020",94,5.6,43,"White Spruce"
"47020",94,6.4,32,"White Spruce"
"28982",94,8,36,"White Spruce"
"28982",94,5.4,35,"White Spruce"
"28982",94,6,30,"White Spruce"
"35043",95,4.7,21,"Black Spruce"
"35043",95,3.3,20,"Black Spruce"
"35043",95,4,23,"Black Spruce"
"1768",94,8.5,38,"White Spruce"
"1768",94,7.2,44,"White Spruce"
"1768",94,6.4,42,"White Spruce"
"52012",95,3.9,20,"Black Spruce"
"52012",95,5,25,"Black Spruce"
"52012",95,4.4,25,"Black Spruce"
"37199",94,10.5,71,"White Spruce"
"37199",94,11.4,72,"White Spruce"
"37199",94,11.9,71,"White Spruce"
"37199",95,4,22,"Black Spruce"
"37199",95,3.7,21,"Black Spruce"
"37199",95,3.6,22,"Black Spruce"
"28056",95,3.9,24,"Black Spruce"
"28056",95,3.7,28,"Black Spruce"
"28056",95,3.9,24,"Black Spruce"
"37927",94,6.3,35,"White Spruce"
"37927",94,7.7,37,"White Spruce"
"37927",94,6.5,29,"White Spruce"
"41022",94,6.9,38,"White Spruce"
"41022",94,7.5,35,"White Spruce"
"21015",108,9.7,55,"Lodgepole Pine"
"38202",264,14.6,71,"Mountain Hemlock"
"48150",108,9.1,49,"Lodgepole Pine"
"48150",108,12.5,48,"Lodgepole Pine"
"48150",108,10.5,39,"Lodgepole Pine"
"15846",108,11.5,64,"Lodgepole Pine"
"15846",108,11.6,66,"Lodgepole Pine"
"15846",108,10.6,62,"Lodgepole Pine"
"5589",94,10.1,58,"White Spruce"
"5589",94,8.5,54,"White Spruce"
"5589",94,11.9,64,"White Spruce"
"28900",94,10.5,52,"White Spruce"
"28900",94,10.4,50,"White Spruce"
"28900",94,11.5,60,"White Spruce"
"28900",95,4.5,23,"Black Spruce"
"28900",95,4.9,23,"Black Spruce"
"28900",95,3.8,16,"Black Spruce"
"35589",94,10.4,70,"White Spruce"
"35589",94,9.2,52,"White Spruce"
"35589",94,9.9,64,"White Spruce"
"58598",94,12.8,47,"White Spruce"
"58598",94,10.9,48,"White Spruce"
"58598",94,7.3,43,"White Spruce"
"18650",95,5,26,"Black Spruce"
"51161",264,10.3,42,"Mountain Hemlock"
"51161",264,13.8,46,"Mountain Hemlock"
"51161",264,9,49,"Mountain Hemlock"
"32970",95,3.3,23,"Black Spruce"
"32970",95,2.6,19,"Black Spruce"
"32970",95,2.5,17,"Black Spruce"
"2516",264,11.6,77,"Mountain Hemlock"
"2516",264,12,73,"Mountain Hemlock"
"2516",264,13.9,68,"Mountain Hemlock"
"47403",94,8.4,44,"White Spruce"
"47403",94,8.6,46,"White Spruce"
"47403",94,6.8,55,"White Spruce"
"59869",264,8.8,38,"Mountain Hemlock"
"59869",264,7.5,27,"Mountain Hemlock"
"59869",264,7.5,31,"Mountain Hemlock"
"19972",264,7.5,20,"Mountain Hemlock"
"19972",264,5,18,"Mountain Hemlock"
"19972",264,7.8,30,"Mountain Hemlock"
"26741",108,12.5,56,"Lodgepole Pine"
"26741",108,12.4,46,"Lodgepole Pine"
"26741",108,13.4,73,"Lodgepole Pine"
"36309",108,12.2,44,"Lodgepole Pine"
"36309",108,17,43,"Lodgepole Pine"
"36309",108,12.7,43,"Lodgepole Pine"
"15625",108,8.8,32,"Lodgepole Pine"
"15625",108,9.3,35,"Lodgepole Pine"
"39536",264,14.3,63,"Mountain Hemlock"
"12734",94,5.7,37,"White Spruce"
"35401",95,3,19,"Black Spruce"
"35401",95,2.9,17,"Black Spruce"
"35401",95,4.3,21,"Black Spruce"
"34330",95,3.2,25,"Black Spruce"
"34330",95,4.4,25,"Black Spruce"
"34330",95,3.1,19,"Black Spruce"
"60053",94,9.1,50,"White Spruce"
"60053",94,6,30,"White Spruce"
"60053",94,5.3,30,"White Spruce"
"25054",94,4.1,26,"White Spruce"
"25054",94,4.6,19,"White Spruce"
"25054",94,3,14,"White Spruce"
"57605",94,4.4,24,"White Spruce"
"57605",94,4.4,17,"White Spruce"
"57605",94,4.7,21,"White Spruce"
"57605",94,7.7,46,"White Spruce"
"57605",94,5.2,33,"White Spruce"
"57605",94,5.4,33,"White Spruce"
"23012",94,7.1,39,"White Spruce"
"23012",94,7.2,33,"White Spruce"
"23012",94,8,33,"White Spruce"
"39979",94,6.1,37,"White Spruce"
"39979",94,5.4,38,"White Spruce"
"39979",94,5.8,46,"White Spruce"
"13871",94,4.6,25,"White Spruce"
"13871",94,4.8,28,"White Spruce"
"13871",94,4.1,25,"White Spruce"
"32396",94,18.6,62,"White Spruce"
"32396",94,10.4,50,"White Spruce"
"32396",94,12.3,48,"White Spruce"
"15588",94,8.5,42,"White Spruce"
"15588",94,8.3,45,"White Spruce"
"15588",94,7.5,39,"White Spruce"
"53661",94,6.3,46,"White Spruce"
"53661",94,7.5,45,"White Spruce"
"53661",94,6.3,44,"White Spruce"
"52192",95,4.6,26,"Black Spruce"
"52192",95,4.8,24,"Black Spruce"
"52192",95,3.7,22,"Black Spruce"
"36603",95,4,21,"Black Spruce"
"36603",95,2.9,18,"Black Spruce"
"36603",95,4.5,28,"Black Spruce"
"41746",94,13.7,71,"White Spruce"
"41746",94,17.7,91,"White Spruce"
"41746",94,16.5,80,"White Spruce"
"59914",95,3.9,21,"Black Spruce"
"59914",95,4.8,25,"Black Spruce"
"59914",95,4.5,22,"Black Spruce"
"19415",94,7.6,53,"White Spruce"
"19415",94,11.6,53,"White Spruce"
"19415",94,6.4,39,"White Spruce"
"15710",94,11.6,58,"White Spruce"
"15710",94,9.9,59,"White Spruce"
"15710",94,16.1,80,"White Spruce"
"47945",94,8.9,42,"White Spruce"
"47945",94,6.6,37,"White Spruce"
"47945",94,8.4,33,"White Spruce"
"341",94,5.7,30,"White Spruce"
"341",94,5.5,21,"White Spruce"
"341",94,4.3,16,"White Spruce"
"59674",94,5.1,34,"White Spruce"
"59674",94,3,14,"White Spruce"
"59674",94,3.6,23,"White Spruce"
"11303",94,5.6,31,"White Spruce"
"11303",94,6.4,32,"White Spruce"
"11303",94,6.9,42,"White Spruce"
"12187",94,10,53,"White Spruce"
"12187",94,10.6,52,"White Spruce"
"12187",94,12.2,51,"White Spruce"
"49742",94,5.9,39,"White Spruce"
"49742",94,12.7,73,"White Spruce"
"49742",94,12.5,70,"White Spruce"
"14885",94,5.2,29,"White Spruce"
"26998",95,3.5,19,"Black Spruce"
"26998",95,3,20,"Black Spruce"
"26998",95,4,24,"Black Spruce"
"61540",95,4.9,19,"Black Spruce"
"61540",95,3.7,21,"Black Spruce"
"61540",95,3.3,18,"Black Spruce"
"21743",94,10.1,66,"White Spruce"
"21743",95,4.3,29,"Black Spruce"
"21743",95,4.8,31,"Black Spruce"
"21743",95,4.4,29,"Black Spruce"
"21743",94,13.3,68,"White Spruce"
"21743",94,12,69,"White Spruce"
"51496",94,10,47,"White Spruce"
"51496",94,10.1,43,"White Spruce"
"51496",94,10.2,42,"White Spruce"
"61062",94,7.5,46,"White Spruce"
"61062",94,5.3,48,"White Spruce"
"61062",94,8.4,55,"White Spruce"
"48233",94,1.6,11,"White Spruce"
"48233",94,1.4,9,"White Spruce"
"48233",94,1.4,10,"White Spruce"
"32119",95,3.2,24,"Black Spruce"
"32119",95,3,21,"Black Spruce"
"32119",95,4.9,26,"Black Spruce"
"55947",94,4.8,29,"White Spruce"
"55947",94,4.1,27,"White Spruce"
"55947",94,3.5,31,"White Spruce"
"4241",94,5.5,35,"White Spruce"
"4241",94,7.3,37,"White Spruce"
"48550",94,9,50,"White Spruce"
"48550",94,9.3,46,"White Spruce"
"48550",94,9.7,57,"White Spruce"
"10781",94,6.1,31,"White Spruce"
"10781",94,5.7,22,"White Spruce"
"10781",94,5.4,26,"White Spruce"
"57630",94,8.9,47,"White Spruce"
"57630",94,7.2,55,"White Spruce"
"26777",95,3.3,23,"Black Spruce"
"26777",95,5.2,33,"Black Spruce"
"26777",95,4.5,30,"Black Spruce"
"26777",95,6.3,44,"Black Spruce"
"26777",95,8.3,37,"Black Spruce"
"26777",95,6.3,36,"Black Spruce"
"15337",94,6.8,44,"White Spruce"
"15337",94,7.9,52,"White Spruce"
"23374",94,9.1,55,"White Spruce"
"15337",94,6.4,38,"White Spruce"
"15337",94,7.8,45,"White Spruce"
"15337",94,7.8,45,"White Spruce"
"7574",94,4.1,23,"White Spruce"
"7574",94,5.3,27,"White Spruce"
"7574",94,4.1,25,"White Spruce"
"30594",94,14.2,62,"White Spruce"
"30594",94,13.7,68,"White Spruce"
"30594",94,11,50,"White Spruce"
"43772",94,14,76,"White Spruce"
"43772",94,10.1,48,"White Spruce"
"43772",94,11.7,67,"White Spruce"
"21296",95,4,23,"Black Spruce"
"21296",95,4.5,25,"Black Spruce"
"21296",95,4.1,23,"Black Spruce"
"21205",95,5.7,31,"Black Spruce"
"21205",95,7.1,34,"Black Spruce"
"21205",95,5,31,"Black Spruce"
"16115",95,5,28,"Black Spruce"
"16115",95,4.6,28,"Black Spruce"
"63757",264,10.3,28,"Mountain Hemlock"
"63757",264,5.6,20,"Mountain Hemlock"
"63757",264,7.8,29,"Mountain Hemlock"
"3151",108,9.1,21,"Lodgepole Pine"
"3151",108,11.6,29,"Lodgepole Pine"
"3151",108,9,20,"Lodgepole Pine"
"40932",264,8.6,30,"Mountain Hemlock"
"40932",264,9.3,31,"Mountain Hemlock"
"40932",264,8.4,24,"Mountain Hemlock"
"46831",108,10.3,41,"Lodgepole Pine"
"46831",108,8.8,49,"Lodgepole Pine"
"46831",108,8.4,33,"Lodgepole Pine"
"24109",264,10.6,31,"Mountain Hemlock"
"24109",264,6.6,24,"Mountain Hemlock"
"24109",264,5.5,19,"Mountain Hemlock"
"33111",264,6.6,32,"Mountain Hemlock"
"33111",264,6.3,32,"Mountain Hemlock"
"33111",264,7.5,32,"Mountain Hemlock"
"14710",264,10.5,53,"Mountain Hemlock"
"14710",264,8.2,41,"Mountain Hemlock"
"14710",264,7.8,47,"Mountain Hemlock"
"36717",108,13.2,70,"Lodgepole Pine"
"36717",108,11.6,45,"Lodgepole Pine"
"36717",108,13.9,57,"Lodgepole Pine"
"30980",95,4.9,31,"Black Spruce"
"30980",95,6.4,36,"Black Spruce"
"30980",95,5.1,28,"Black Spruce"
"14983",94,7.1,37,"White Spruce"
"14983",94,6.5,31,"White Spruce"
"14983",94,7.9,41,"White Spruce"
"59967",95,2.8,19,"Black Spruce"
"45599",95,3,21,"Black Spruce"
"45599",95,3.7,21,"Black Spruce"
"45599",95,3,20,"Black Spruce"
"64145",95,3.7,32,"Black Spruce"
"64145",95,5,38,"Black Spruce"
"64145",95,3.5,25,"Black Spruce"
"64145",95,3.5,23,"Black Spruce"
"64145",95,6.1,48,"Black Spruce"
"64145",95,5.4,45,"Black Spruce"
"1549",95,3.3,20,"Black Spruce"
"57263",95,3.8,24,"Black Spruce"
"57263",95,3.6,21,"Black Spruce"
"57263",95,3.3,22,"Black Spruce"
