CN,PLT_CN,PREV_SIT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,CONDID,TREE,SPCD,DIA,HT,AGEDIA,SPGRPCD,SITREE,SIBASE,SUBP,METHOD,SITREE_EST,VALIDCD,CREATED_DATE,MODIFIED_DATE,CYCLE,SUBCYCLE,AGECHKCD_RMRS,AGE_DETERMINATION_METHOD_PNWRS,CCLCD_RMRS,DAMAGE_AGENT_CD1_RMRS,DAMAGE_AGENT_CD2_RMRS,DAMAGE_AGENT_CD3_RMRS,SIBASE_AGE_PNWRS,SITETRCD_RMRS,SITE_AGE_TREE_STATUS_PNWRS,SITE_AGE_TREE_TYPE_PNWRS,SITE_TREE_METHOD_PNWRS,SITREE_EQU_NO_PNWRS,TREECLCD_RMRS,TREE_ACT_RMRS,YEAR_AGE_TAKEN,SIEQN_REF_CD,SITREE_FVS,SIBASE_FVS,SIEQN_REF_CD_FVS
1389694643290487,547410652126144,,2019,2,1,201,3022,2,4,263.0,10.2,56,47,13,85,100,4,1,,1,2021-05-19 12:12:44,2024-09-17 13:16:07,3,5,,0,,,,,100,,A,3,,9,,,,,57,50,TSHE02
1389694644290487,547410652126144,,2019,2,1,201,3022,3,4,263.0,10.2,56,47,13,85,100,4,1,,1,2021-05-19 12:12:44,2024-09-17 13:16:07,3,5,,0,,,,,100,,A,3,,9,,,,,57,50,TSHE02
1389694645290487,547410652126144,,2019,2,1,201,3022,4,4,263.0,10.2,56,47,13,85,100,4,1,,1,2021-05-19 12:12:44,2024-09-17 13:16:07,3,5,,0,,,,,100,,A,3,,9,,,,,57,50,TSHE02
1389694638290487,547410652126144,,2019,2,1,201,3022,3,2,263.0,5.5,35,22,13,86,100,1,1,,1,2021-05-19 12:12:44,2024-09-17 13:16:07,3,5,,0,,,,,100,,A,3,,9,,,,,52,50,TSHE02
851606933290487,547410652126144,,2019,2,1,201,3022,1,2,263.0,5.5,35,22,13,86,100,1,1,,1,2021-05-19 12:12:44,2024-09-17 13:16:07,3,5,,0,,,,,100,,A,3,,9,,,,,52,50,TSHE02
851606934290487,547410652126144,,2019,2,1,201,3022,1,3,263.0,6.2,36,28,13,76,100,1,1,,1,2021-05-19 12:12:44,2024-09-17 13:16:07,3,5,,0,,,,,100,,A,3,,9,,,,,47,50,TSHE02
851606935290487,547410652126144,,2019,2,1,201,3022,1,4,263.0,10.2,56,47,13,85,100,4,1,,1,2021-05-19 12:12:44,2024-09-17 13:16:07,3,5,,0,,,,,100,,A,3,,9,,,,,57,50,TSHE02
851607121290487,547410657126144,,2019,2,1,280,452,1,6,242.0,18.7,75,91,22,75,100,3,1,,1,2021-05-19 12:12:45,2024-09-17 13:16:07,3,5,,0,,,,,100,,N,1,,5,,,,,61,50,TSHE02
851607116290487,547410657126144,,2019,2,1,280,452,1,1,242.0,20.5,98,226,22,87,100,2,1,,1,2021-05-19 12:12:45,2024-09-17 13:16:07,3,5,,,,,,,100,,P,1,,5,,,,,64,50,TSHE02
851607117290487,547410657126144,,2019,2,1,280,452,1,2,242.0,20.9,86,225,22,77,100,2,1,,1,2021-05-19 12:12:45,2024-09-17 13:16:07,3,5,,,,,,,100,,P,1,,5,,,,,56,50,TSHE02
